,uri,,ref_id,,title,,first_date,,container,
<record><uri>,/repositories/3/archival_objects/342431,</uri><cid>,MC147_c00275,</cid><unittitle>,Australia: National Aboriginal Education Committee,</unittitle><unitdate>,1978,</unitdate><container>,box 67 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342432,</uri><cid>,MC147_c00276,</cid><unittitle>,Australia: Publications,</unittitle><unitdate>,1972-1980,</unitdate><container>,box 68 folder 1-2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342433,</uri><cid>,MC147_c00277,</cid><unittitle>,Australia: Queensland Aboriginal Legislation,</unittitle><unitdate>,1971-1979,</unitdate><container>,box 68 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342434,</uri><cid>,MC147_c00278,</cid><unittitle>,"Australia: Tomlinson, John",</unittitle><unitdate>,1980,</unitdate><container>,box 68 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342435,</uri><cid>,MC147_c00279,</cid><unittitle>,Australia: Trade Union Committee on Aboriginal Rights,</unittitle><unitdate>,1979,</unitdate><container>,box 68 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342436,</uri><cid>,MC147_c00280,</cid><unittitle>,Australia: Uranium,</unittitle><unitdate>,1976-1980,</unitdate><container>,box 68 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342437,</uri><cid>,MC147_c00281,</cid><unittitle>,Australia: General,</unittitle><unitdate>,1975-1984,</unitdate><container>,box 68 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342438,</uri><cid>,MC147_c00282,</cid><unittitle>,Avalon Foundation,</unittitle><unitdate>,1952-1953,</unitdate><container>,box 68 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342439,</uri><cid>,MC147_c00283,</cid><unittitle>,Avon Glove Corporation,</unittitle><unitdate>,1984,</unitdate><container>,box 68 folder 9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342440,</uri><cid>,MC147_c00284,</cid><unittitle>,B. de Rothschild Foundation for the Arts and Sciences,</unittitle><unitdate>,1955-1958,</unitdate><container>,box 68 folder 10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342441,</uri><cid>,MC147_c00285,</cid><unittitle>,"Bad Hand, Howard P",</unittitle><unitdate>,1972-1976,</unitdate><container>,box 68 folder 11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342442,</uri><cid>,MC147_c00286,</cid><unittitle>,"Baer, Linda L",</unittitle><unitdate>,1986,</unitdate><container>,box 68 folder 12 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342443,</uri><cid>,MC147_c00287,</cid><unittitle>,"Bahti, Tom",</unittitle><unitdate>,1969-1972,</unitdate><container>,box 68 folder 13 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342444,</uri><cid>,MC147_c00288,</cid><unittitle>,"Baker, John E., Sr",</unittitle><unitdate>,1969-1972,</unitdate><container>,box 68 folder 14 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342445,</uri><cid>,MC147_c00289,</cid><unittitle>,Ban the Dam Jam,</unittitle><unitdate>,1991,</unitdate><container>,box 68 folder 15 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342446,</uri><cid>,MC147_c00290,</cid><unittitle>,Banbury Fund,</unittitle><unitdate>,1984-1985,</unitdate><container>,box 68 folder 16 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342447,</uri><cid>,MC147_c00291,</cid><unittitle>,Barbara Warden Foundation,</unittitle><unitdate>,1963,</unitdate><container>,box 68 folder 17 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342448,</uri><cid>,MC147_c00292,</cid><unittitle>,Barker Welfare Foundation,</unittitle><unitdate>,1948-1953,</unitdate><container>,box 68 folder 18 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342449,</uri><cid>,MC147_c00293,</cid><unittitle>,Barksdale Foundation,</unittitle><unitdate>,1962,</unitdate><container>,box 68 folder 19 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342450,</uri><cid>,MC147_c00294,</cid><unittitle>,"Barrett, Janet",</unittitle><unitdate>,1985-1986,</unitdate><container>,box 68 folder 20 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342451,</uri><cid>,MC147_c00295,</cid><unittitle>,"Basso, Keith H",</unittitle><unitdate>,1978-1993,</unitdate><container>,box 68 folder 21 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342452,</uri><cid>,MC147_c00296,</cid><unittitle>,Battelle Memorial Institute,</unittitle><unitdate>,1992,</unitdate><container>,box 69 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342453,</uri><cid>,MC147_c00297,</cid><unittitle>,"Bauer, Gary",</unittitle><unitdate>,1987,</unitdate><container>,box 69 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342454,</uri><cid>,MC147_c00298,</cid><unittitle>,"Baumgartner, Leona",</unittitle><unitdate>,1962-1980,</unitdate><container>,box 69 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342455,</uri><cid>,MC147_c00299,</cid><unittitle>,"Beardsley, Helen M",</unittitle><unitdate>,1971,</unitdate><container>,box 69 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342456,</uri><cid>,MC147_c00300,</cid><unittitle>,"Becker, Edward J",</unittitle><unitdate>,1949,</unitdate><container>,box 69 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342457,</uri><cid>,MC147_c00301,</cid><unittitle>,"Beddall, Thomas H., Jr",</unittitle><unitdate>,1969-1978,</unitdate><container>,box 69 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342458,</uri><cid>,MC147_c00302,</cid><unittitle>,"Bell, Griffin B",</unittitle><unitdate>,1979,</unitdate><container>,box 69 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342459,</uri><cid>,MC147_c00303,</cid><unittitle>,"Ben-Ami, Henri",</unittitle><unitdate>,1965,</unitdate><container>,box 69 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342460,</uri><cid>,MC147_c00304,</cid><unittitle>,Benefit Performance of Indians,</unittitle><unitdate>,1969,</unitdate><container>,box 69 folder 9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342461,</uri><cid>,MC147_c00305,</cid><unittitle>,"Bennett, Robert L",</unittitle><unitdate>,1966-1969,</unitdate><container>,box 69 folder 10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342462,</uri><cid>,MC147_c00306,</cid><unittitle>,"Bergen, Alfreda Janis",</unittitle><unitdate>,1966-1987,</unitdate><container>,box 69 folder 11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342463,</uri><cid>,MC147_c00307,</cid><unittitle>,Better Business Bureaus,</unittitle><unitdate>,1944-1994,</unitdate><container>,box 69 folder 12-13 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342464,</uri><cid>,MC147_c00308,</cid><unittitle>,Bibb Company,</unittitle><unitdate>,1972-1977,</unitdate><container>,box 70 folder 1-2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342465,</uri><cid>,MC147_c00309,</cid><unittitle>,Bibliographies,</unittitle><unitdate>,1939-1992,</unitdate><container>,box 70 folder 3-4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342466,</uri><cid>,MC147_c00310,</cid><unittitle>,Big Bear Spiritual Run,</unittitle><unitdate>,1988,</unitdate><container>,box 70 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342467,</uri><cid>,MC147_c00311,</cid><unittitle>,"Bigart, Homer",</unittitle><unitdate>,1970-1971,</unitdate><container>,box 70 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342468,</uri><cid>,MC147_c00312,</cid><unittitle>,"Birchfield, J. Kermit, Jr",</unittitle><unitdate>,1982-1986,</unitdate><container>,box 70 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342469,</uri><cid>,MC147_c00313,</cid><unittitle>,Bison,</unittitle><unitdate>,1989,</unitdate><container>,box 70 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342470,</uri><cid>,MC147_c00314,</cid><unittitle>,"Black, Algernon D",</unittitle><unitdate>,1955,</unitdate><container>,box 70 folder 9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342471,</uri><cid>,MC147_c00315,</cid><unittitle>,"Black, Charles L., Jr",</unittitle><unitdate>,1950-1965,</unitdate><container>,box 70 folder 10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342472,</uri><cid>,MC147_c00316,</cid><unittitle>,Black Hills Sioux Nation Council,</unittitle><unitdate>,1954,</unitdate><container>,box 70 folder 11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342473,</uri><cid>,MC147_c00317,</cid><unittitle>,Black War Veterans of the United States Association,</unittitle><unitdate>,1993,</unitdate><container>,box 70 folder 12 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342474,</uri><cid>,MC147_c00318,</cid><unittitle>,"Blackbird, Edith",</unittitle><unitdate>,1954-1961,</unitdate><container>,box 70 folder 13 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342475,</uri><cid>,MC147_c00319,</cid><unittitle>,"Blackwolf, Charles",</unittitle><unitdate>,1953,</unitdate><container>,box 70 folder 14 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342476,</uri><cid>,MC147_c00320,</cid><unittitle>,"Blanchard, Evelyn Lance",</unittitle><unitdate>,1977-1993,</unitdate><container>,box 71 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342477,</uri><cid>,MC147_c00321,</cid><unittitle>,"Blatchford, Herb",</unittitle><unitdate>,1969-1976,</unitdate><container>,box 71 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342478,</uri><cid>,MC147_c00322,</cid><unittitle>,Blue Hill Foundation,</unittitle><unitdate>,1954-1960,</unitdate><container>,box 71 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342479,</uri><cid>,MC147_c00323,</cid><unittitle>,Board for Fundamental Education,</unittitle><unitdate>,1958,</unitdate><container>,box 71 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342480,</uri><cid>,MC147_c00324,</cid><unittitle>,Boarding Schools,</unittitle><unitdate>,1868-1894,</unitdate><container>,box 71 folder 5-10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342481,</uri><cid>,MC147_c00325,</cid><unittitle>,Boarding Schools,</unittitle><unitdate>,1980-1986,</unitdate><container>,box 72 folder 1-3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342482,</uri><cid>,MC147_c00326,</cid><unittitle>,"Bobelu, Carolyn",</unittitle><unitdate>,1985-1987,</unitdate><container>,box 72 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342483,</uri><cid>,MC147_c00327,</cid><unittitle>,Bolivian Textiles,</unittitle><unitdate>,1990,</unitdate><container>,box 72 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342484,</uri><cid>,MC147_c00328,</cid><unittitle>,"Borbridge, John, Jr",</unittitle><unitdate>,1970,</unitdate><container>,box 72 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342485,</uri><cid>,MC147_c00329,</cid><unittitle>,Borg-Marks and Payne Company,</unittitle><unitdate>,1988,</unitdate><container>,box 72 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342486,</uri><cid>,MC147_c00330,</cid><unittitle>,"Botelho, Eugene",</unittitle><unitdate>,1960,</unitdate><container>,box 72 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342487,</uri><cid>,MC147_c00331,</cid><unittitle>,"Bowler, Alida C",</unittitle><unitdate>,1947-1958,</unitdate><container>,box 72 folder 9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342488,</uri><cid>,MC147_c00332,</cid><unittitle>,Boy Scouts of America,</unittitle><unitdate>,1960,</unitdate><container>,box 72 folder 10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342489,</uri><cid>,MC147_c00333,</cid><unittitle>,Brackish Groundwater,</unittitle><unitdate>,1965-1978,</unitdate><container>,box 72 folder 11-12 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342490,</uri><cid>,MC147_c00334,</cid><unittitle>,"Bradford, Penelope S",</unittitle><unitdate>,1974-1985,</unitdate><container>,box 72 folder 13 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342491,</uri><cid>,MC147_c00335,</cid><unittitle>,"Brady, Steven C., Sr",</unittitle><unitdate>,1990,</unitdate><container>,box 73 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342492,</uri><cid>,MC147_c00336,</cid><unittitle>,"Brando, Marlon, Sr",</unittitle><unitdate>,1963-1964,</unitdate><container>,box 73 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342493,</uri><cid>,MC147_c00337,</cid><unittitle>,"Brennan, Jere",</unittitle><unitdate>,1975,</unitdate><container>,box 73 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342494,</uri><cid>,MC147_c00338,</cid><unittitle>,Broadcasting,</unittitle><unitdate>,1988-1993,</unitdate><container>,box 73 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342495,</uri><cid>,MC147_c00339,</cid><unittitle>,"Broden, Leo",</unittitle><unitdate>,1966-1974,</unitdate><container>,box 73 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342496,</uri><cid>,MC147_c00340,</cid><unittitle>,Broken Arrow (20th Century Fox),</unittitle><unitdate>,1949-1956,</unitdate><container>,box 73 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342497,</uri><cid>,MC147_c00341,</cid><unittitle>,"Bronson, Ruth Muskrat",</unittitle><unitdate>,1951-1963,</unitdate><container>,box 73 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342498,</uri><cid>,MC147_c00342,</cid><unittitle>,Brookings Institution,</unittitle><unitdate>,1956,</unitdate><container>,box 73 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342499,</uri><cid>,MC147_c00343,</cid><unittitle>,"Brophy, William A",</unittitle><unitdate>,1945-1962,</unitdate><container>,box 73 folder 9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342500,</uri><cid>,MC147_c00344,</cid><unittitle>,"Brown, Ivan",</unittitle><unitdate>,1969-1972,</unitdate><container>,box 73 folder 10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342501,</uri><cid>,MC147_c00345,</cid><unittitle>,"Brown, Oscar Deric",</unittitle><unitdate>,undated,</unitdate><container>,box 73 folder 11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342502,</uri><cid>,MC147_c00346,</cid><unittitle>,"Brown Thunder, Joseph, Jr",</unittitle><unitdate>,1992,</unitdate><container>,box 73 folder 12 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342503,</uri><cid>,MC147_c00347,</cid><unittitle>,"Bruner, Edward M",</unittitle><unitdate>,1952-1955,</unitdate><container>,box 73 folder 13 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342504,</uri><cid>,MC147_c00348,</cid><unittitle>,"Buder, Kathryn M",</unittitle><unitdate>,1988-1993,</unitdate><container>,box 73 folder 14 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342505,</uri><cid>,MC147_c00349,</cid><unittitle>,Bureau of Indian Affairs: Aberdeen Area Office,</unittitle><unitdate>,1958,</unitdate><container>,box 73 folder 15-16 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342506,</uri><cid>,MC147_c00350,</cid><unittitle>,Bureau of Indian Affairs: Bill of Particulars Against,</unittitle><unitdate>,1952,</unitdate><container>,box 73 folder 17 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342507,</uri><cid>,MC147_c00351,</cid><unittitle>,Bureau of Indian Affairs: Conferences,</unittitle><unitdate>,1939,</unitdate><container>,box 73 folder 18-19 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342508,</uri><cid>,MC147_c00352,</cid><unittitle>,Bureau of Indian Affairs: Credit Program,</unittitle><unitdate>,1954,</unitdate><container>,box 73 folder 20 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342509,</uri><cid>,MC147_c00353,</cid><unittitle>,Bureau of Indian Affairs: Directory of Field and Central Offices,</unittitle><unitdate>,1962,</unitdate><container>,box 73 folder 21 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342510,</uri><cid>,MC147_c00354,</cid><unittitle>,Bureau of Indian Affairs: Directory of Field Offices,</unittitle><unitdate>,1990,</unitdate><container>,box 73 folder 22 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342511,</uri><cid>,MC147_c00355,</cid><unittitle>,Bureau of Indian Affairs: Economic Development Initiative,</unittitle><unitdate>,1982,</unitdate><container>,box 73 folder 23 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342512,</uri><cid>,MC147_c00356,</cid><unittitle>,Bureau of Indian Affairs: Education Report,</unittitle><unitdate>,1988,</unitdate><container>,box 73 folder 24 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342513,</uri><cid>,MC147_c00357,</cid><unittitle>,Bureau of Indian Affairs: Employment and Volunteering,</unittitle><unitdate>,1979-1982,</unitdate><container>,box 73 folder 25 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342514,</uri><cid>,MC147_c00358,</cid><unittitle>,Bureau of Indian Affairs: General Assistance Program,</unittitle><unitdate>,1972,</unitdate><container>,box 73 folder 26 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342515,</uri><cid>,MC147_c00359,</cid><unittitle>,Bureau of Indian Affairs: History,</unittitle><unitdate>,1957,</unitdate><container>,box 73 folder 27 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342516,</uri><cid>,MC147_c00360,</cid><unittitle>,Bureau of Indian Affairs: Indian Industrial Development Program,</unittitle><unitdate>,1962,</unitdate><container>,box 73 folder 28 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342517,</uri><cid>,MC147_c00361,</cid><unittitle>,Bureau of Indian Affairs: Indian Involvement Program,</unittitle><unitdate>,1971,</unitdate><container>,box 74 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342518,</uri><cid>,MC147_c00362,</cid><unittitle>,Bureau of Indian Affairs: Information Service,</unittitle><unitdate>,1951-1953,</unitdate><container>,box 74 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342519,</uri><cid>,MC147_c00363,</cid><unittitle>,Bureau of Indian Affairs: Job Placement Program,</unittitle><unitdate>,1949-1951,</unitdate><container>,box 74 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342520,</uri><cid>,MC147_c00364,</cid><unittitle>,Bureau of Indian Affairs: Occupation of Headquarters,</unittitle><unitdate>,1972-1973,</unitdate><container>,box 74 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342521,</uri><cid>,MC147_c00365,</cid><unittitle>,Bureau of Indian Affairs: Personnel,</unittitle><unitdate>,1941-1962,</unitdate><container>,box 74 folder 5-6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342522,</uri><cid>,MC147_c00366,</cid><unittitle>,Bureau of Indian Affairs: Policy Matters,</unittitle><unitdate>,1953-1963,</unitdate><container>,box 74 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342523,</uri><cid>,MC147_c00367,</cid><unittitle>,Bureau of Indian Affairs: Reorganization,</unittitle><unitdate>,1923,</unitdate><container>,box 74 folder 8-10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342524,</uri><cid>,MC147_c00368,</cid><unittitle>,Bureau of Indian Affairs: Scholarship Program,</unittitle><unitdate>,1973-1974,</unitdate><container>,box 74 folder 11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342525,</uri><cid>,MC147_c00369,</cid><unittitle>,Bureau of Indian Affairs: Window Rock Area Office,</unittitle><unitdate>,1951-1954,</unitdate><container>,box 74 folder 12 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342526,</uri><cid>,MC147_c00370,</cid><unittitle>,Bureau of Indian Affairs: General,</unittitle><unitdate>,1930-1938,</unitdate><container>,box 74 folder 13 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342527,</uri><cid>,MC147_c00371,</cid><unittitle>,"Burge, Moris",</unittitle><unitdate>,1939,</unitdate><container>,box 74 folder 14 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342528,</uri><cid>,MC147_c00372,</cid><unittitle>,"Burke, Charles H",</unittitle><unitdate>,1925-1929,</unitdate><container>,box 74 folder 15 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342529,</uri><cid>,MC147_c00373,</cid><unittitle>,"Burnette, Robert Philip",</unittitle><unitdate>,1963,</unitdate><container>,box 74 folder 16 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342530,</uri><cid>,MC147_c00374,</cid><unittitle>,Bush Administration,</unittitle><unitdate>,1991-1992,</unitdate><container>,box 74 folder 17 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342531,</uri><cid>,MC147_c00375,</cid><unittitle>,"Byler, Mary Lou",</unittitle><unitdate>,1972-1973,</unitdate><container>,box 74 folder 18 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342532,</uri><cid>,MC147_c00376,</cid><unittitle>,"Byler, William",</unittitle><unitdate>,1962,</unitdate><container>,box 74 folder 19-20 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342533,</uri><cid>,MC147_c00377,</cid><unittitle>,"Campbell, Ben Nighthorse",</unittitle><unitdate>,1987-1993,</unitdate><container>,box 74 folder 21 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342534,</uri><cid>,MC147_c00378,</cid><unittitle>,Canada,</unittitle><unitdate>,1946-1963,</unitdate><container>,box 74 folder 22 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342535,</uri><cid>,MC147_c00379,</cid><unittitle>,Canada,</unittitle><unitdate>,1971-1993,</unitdate><container>,box 75 folder 1-2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342536,</uri><cid>,MC147_c00380,</cid><unittitle>,Canadian Indian Child Welfare,</unittitle><unitdate>,1973-1984,</unitdate><container>,box 75 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342537,</uri><cid>,MC147_c00381,</cid><unittitle>,"Cannon, Bruce K",</unittitle><unitdate>,1990-1991,</unitdate><container>,box 75 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342538,</uri><cid>,MC147_c00382,</cid><unittitle>,"Carlos, Filmore",</unittitle><unitdate>,1968-1975,</unitdate><container>,box 75 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342539,</uri><cid>,MC147_c00383,</cid><unittitle>,Carnegie Corporation of New York,</unittitle><unitdate>,1952-1986,</unitdate><container>,box 75 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342540,</uri><cid>,MC147_c00384,</cid><unittitle>,Carter/Mondale Presidential Campaign,</unittitle><unitdate>,1976,</unitdate><container>,box 75 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342541,</uri><cid>,MC147_c00385,</cid><unittitle>,"Carver, John A., Jr",</unittitle><unitdate>,1961-1962,</unitdate><container>,box 75 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342542,</uri><cid>,MC147_c00386,</cid><unittitle>,"Cassadore, Marlowe",</unittitle><unitdate>,1986-1987,</unitdate><container>,box 75 folder 9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342543,</uri><cid>,MC147_c00387,</cid><unittitle>,"Catano, Yolima",</unittitle><unitdate>,1987,</unitdate><container>,box 75 folder 10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342544,</uri><cid>,MC147_c00388,</cid><unittitle>,Cazenovia College,</unittitle><unitdate>,1986-1987,</unitdate><container>,box 75 folder 11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342545,</uri><cid>,MC147_c00389,</cid><unittitle>,Census,</unittitle><unitdate>,1971-1974,</unitdate><container>,box 75 folder 12-13 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342546,</uri><cid>,MC147_c00390,</cid><unittitle>,Census,</unittitle><unitdate>,1987-1992,</unitdate><container>,box 76 folder 1-2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342547,</uri><cid>,MC147_c00391,</cid><unittitle>,Center for Life Cycle Sciences,</unittitle><unitdate>,1990-1993,</unitdate><container>,box 76 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342548,</uri><cid>,MC147_c00392,</cid><unittitle>,Charles A. Frueauff Foundation,</unittitle><unitdate>,1952-1960,</unitdate><container>,box 76 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342549,</uri><cid>,MC147_c00393,</cid><unittitle>,Charles and Lily H. Weinberg Foundation,</unittitle><unitdate>,1957,</unitdate><container>,box 76 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342550,</uri><cid>,MC147_c00394,</cid><unittitle>,Charles Luckman Associates,</unittitle><unitdate>,1971-1976,</unitdate><container>,box 76 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342551,</uri><cid>,MC147_c00395,</cid><unittitle>,"Chavers, Dean",</unittitle><unitdate>,1987,</unitdate><container>,box 76 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342552,</uri><cid>,MC147_c00396,</cid><unittitle>,"Chestnut, Peter C",</unittitle><unitdate>,1968-1970,</unitdate><container>,box 76 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342553,</uri><cid>,MC147_c00397,</cid><unittitle>,Child Abuse,</unittitle><unitdate>,1966-1975,</unitdate><container>,box 76 folder 9-10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342554,</uri><cid>,MC147_c00398,</cid><unittitle>,Child Abuse,</unittitle><unitdate>,1976-1991,</unitdate><container>,box 77 folder 1-4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342555,</uri><cid>,MC147_c00399,</cid><unittitle>,Child Abuse Survey,</unittitle><unitdate>,1986,</unitdate><container>,box 77 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342556,</uri><cid>,MC147_c00400,</cid><unittitle>,Child Welfare,</unittitle><unitdate>,1960,</unitdate><container>,box 77 folder 6-8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342557,</uri><cid>,MC147_c00401,</cid><unittitle>,Child Welfare,</unittitle><unitdate>,1973-1975,</unitdate><container>,box 78 folder 1-5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342558,</uri><cid>,MC147_c00402,</cid><unittitle>,Child Welfare,</unittitle><unitdate>,1976-1991,</unitdate><container>,box 79 folder 1-5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342559,</uri><cid>,MC147_c00403,</cid><unittitle>,Child Welfare,</unittitle><unitdate>,undated,</unitdate><container>,box 80 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342560,</uri><cid>,MC147_c00404,</cid><unittitle>,Child Welfare and Reasonable Efforts,</unittitle><unitdate>,1984-1987,</unitdate><container>,box 80 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342561,</uri><cid>,MC147_c00405,</cid><unittitle>,Child Welfare Book,</unittitle><unitdate>,1976-1989,</unitdate><container>,box 80 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342562,</uri><cid>,MC147_c00406,</cid><unittitle>,Child Welfare Crisis,</unittitle><unitdate>,1972,</unitdate><container>,box 80 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342563,</uri><cid>,MC147_c00407,</cid><unittitle>,Child Welfare League of America,</unittitle><unitdate>,1968-1977,</unitdate><container>,box 80 folder 5 ,</container></record>
